cameraIndexCode,name,latitude,longitude
c78f7a98b0e04f009479807cc6fb8ac6,A064F JALAN TUANKU ABDUL HALIM,3.16731,101.670329
abc427c56c2d4b63bcb0df823ac1c097,A065F JALAN SEMANTAN,3.151826,101.672014
1eba3edbdedd4f85bff8f7b42ee7b092,A066F JALAN SEMANTAN,3.152225,101.672219
17bce5d14ec74d39a962212a3563e53e,A067F JALAN TUN PERAK,3.147476,101.69813
2057e30c8de9416892c4a3f197d7d007,A068F JALAN TUN HS LEE,3.14446,101.696611
1b04595c90694fb096a62bc0ffb37cdf,A069F JALAN PARLIMEN,3.151239,101.693723
ba150d78b3174cf7a958031a3317b4b2,A070F JALAN PARLIMEN,3.151273,101.693718
2ebbc80257a0403b9094381030a02227,A071F JALAN PARLIMAN,3.150415,101.688544
469dcb8e43d947c69d7ab56d7f1a775e,A072F JALAN PARLIMEN,3.149969,101.687327
41ac028c91bb474a8bf740d68dbbafe7,A073F JALAN KINABALU,3.140054,101.69667
eea15dca837f4d2aa219475b2c4eb838,A074F JALAN KINABALU,3.140023,101.696663
57c4c6b1894e421582ebb1e89edd87c5,A075F JALAN KINABALU,3.141871,101.693066
1c4af4f070b5493c91bfee621983302a,A076F JALAN KINABALU,3.141873,101.693085
cd7e8b9e3e484fe7bd934ffc66fdcf56,A077F JALAN KUCHING,3.160373,101.692763
0be79ef93a164306a4f6e6ce7b90f6bb,A078F JALAN KUCHING,3.160322,101.692673
1ebf1e003bf747fb93b17f657b61ce27,A079F JALAN KUCHING,3.168531,101.687732
db35e9fc8f884aeb941adfd5e63af015,A080F JALAN KUCHING,3.168454,101.687742
8f7985910f9d46d1aa1aba42a95b1fe8,A081F JALAN KUCHING,3.189628,101.669359
f2d47920377e4db5b99ce4198ea69e12,A082F JALAN KUCHING ,3.191285,101.668844
4b132a246e0c41d7bfff30222d487754,A083F JALAN KEPONG,3.204312,101.668654
f31028931e1d45a3a6c30d490c1a857f,A084F JALAN KEPONG ,3.204214,101.66864
bf730e6ac1114d0cac13ae2a956f8cd8,A085F JALAN KEPONG,3.210129,101.650161
1277d32243e547f3aa5133413ff2cdf4,A086F JALAN KEPONG,3.208982,101.656186
e1faaf1ce45e4951af64b0cfcfedb9fd,A087F JALAN KEPONG,3.212767,101.632396
6e6d37fc6fc34a10bb87f17f8f4c8cfa,A088F JALAN KEPONG,3.212868,101.63225
9f022b50ff344f43a2dcef07da5e63b2,A089F JALAN RAJA LAUT (KWSP),3.154886,101.694689
494655594b92457dbd79cf497425ac4c,A090F JALAN RAJA LAUT,3.154042,101.694752
b1a02e02f0cc42dd9542555e14fd9f1c,A091F JALAN RAJA LAUT,3.16535,101.696237
b7b1be3dbaa147468a6ffd8f96d55d24,A092F JALAN RAJA LAUT,3.167,101.696315
00b7de2205d7476ab0c14e8c26f675bd,A093F JALAN SULTAN AZLAN SHAH,3.169349,101.695815
75723e0fbdd644c2b64b1a3b6fb0a0db,A094F JALAN SULTAN AZLAN SHAH,3.168062,101.697286
f0cc17e62c9b4c7eb4425fef71c829cd,A095F JALAN SULTAN AZLAN SHAH,3.172442,101.692069
fea5dfd9bce8493799c8f1e386e6fba7,A096F JALAN SULTAN AZLAN SHAH,3.172416,101.692064
8cc8fabdb7334c91aee98e48814b440c,A097F JALAN  IPOH,3.194571,101.679571
014832b117bf4961a3e0ce5c65ff97f2,A098F JALAN IPOH,3.200303,101.677637
5489120db4d048e2ac5eb871758c6d9a,A099F JALAN KUCHING,3.213614,101.671735
00f1f0c24b8a49dd9e7dbaac25bd24a5,A100F JALAN KUCHING,3.212276,101.67183
5c2beceb839148fdb7ffa8bf510f6bc0,A101F JALAN TUN RAZAK,3.172018,101.692952
65b2a0cc02b8448ab71dea5c5fe87ce9,A102F JALAN TUN RAZAK,3.172001,101.693192
9c5dbb55252447dc8bd935a572f9b608,A103F JALAN TUN RAZAK,3.173409,101.702436
17aec8841efd43cc8ec50444784d5858,A104F JALAN TUN RAZAK,3.172991,101.703973
97200c1bebd9418ebba90e0e841ca6e6,A105F JALAN TUN RAZAK,3.162411,101.719151
3946a64fd39b406c82ae56fa28f66890,A106F JALAN TUN RAZAK,3.162448,101.718806
7a3a68364750440ab81dd01c8b088aa7,A107F JALAN TUN RAZAK,3.156615,101.72132
e959d3ea8f2749c69448f22e801e6183,A108F JALAN TUN RAZAK,3.156526,101.721191
574fcb9063934ddea186bbb7260bbc0f,A109F JALAN TUN RAZAK,3.146012,101.722026
01d07861e60a4c1f9b7ae539e4237604,A110F JALAN TUN RAZAK,3.149507,101.722972
93c8c443f1e146e0871f5176bd6e2feb,B1 BOOM GATE ENTRANCE,,
8c0898b201d64800a9c2b9cbcbca7c31,B1 BOOM GATE EXIT,,
976824d1ff7f43d5a0ed963cce0a1121,C001 JALAN TUANKU ABDUL RAHMAN,3.153209,101.69659
b1486c5409b447b59c0cd177c5c36da3,C002 JALAN TUANKU ABDUL RAHMAN,3.155835,101.696113
5ef57a0f910640ee9f965935dc68a41d,C003 JALAN TUANKU ABDUL RAHMAN,3.156932,101.696079
eb0503f792cb4af280ab0eb41292165f,C004 JALAN LINGKARAN TENGAH 2,3.09419,101.731489
45ce0118b0dc4e98bae57a508a51c765,C005 JALAN TUANKU ABDUL RAHMAN,3.159837,101.69677
a732d1e4e76f41fba9595473b98e1d16,C006 JALAN TUANKU ABDUL RAHMAN,3.162298,101.698001
e8c356cecc4f4e30a2e3b252ee0016a7,C007 JALAN TUANKU ABDUL RAHMAN,3.163845,101.698186
4b00c6d7614f403d82f27024ffe3f1d1,C008 JALAN TUANKU ABDUL RAHMAN,3.166154,101.698353
dbe139689ffc473db095f1f5b27cb994,C009 JALAN TUANKU ABDUL RAHMAN,3.166797,101.698519
8bb3feda883e429eb94ecd6336025ed3,C010 JALAN PAHANG,3.167231,101.69855
90fdf84778e34332a66c17665108a916,C011 JALAN PAHANG,3.170822,101.698648
a0d39b6247e9464daa1806a8f6ceb0fd,C012 JALAN PAHANG ,3.173704,101.69952
f250d29c976640859450b9f1879b57ba,C013 JALAN PAHANG ,3.176616,101.699947
0c35d000f46242afb06a3cdbbad7636e,C014 JALAN PAHANG ,3.182623,101.701973
6b4fd81358e64e95a4b0382ee4d6cdde,C015 JALAN PAHANG ,3.185027,101.70176
720bda09211e4ab5a87d26e7e24532f9,C016 JALAN PAHANG ,3.187169,101.702567
9d8528bfa376485ca3c62909a03e4047,C017 JALAN PAHANG,3.189715,101.705804
3159852a322b4797b48ce0703717b906,C018 JALAN GENTING KLANG ,3.192309,101.709346
058f451d71d6483081efcfd4d25964e5,C019 JALAN GENTING KLANG,3.195972,101.712844
228e5b6ee2944ec4910809b33326ce0b,C020 JALAN GENTING KLANG,3.199803,101.717256
8a430016e2c944aeaead3c685d88f5b3,C021 JALAN GENTING KLANG,3.203567,101.722036
366645650b31457bb473c0dc4e36eb02,C022 JALAN GENTING KLANG,3.20865,101.727781
2fa5a27b7fc74978be3b3515a4720dc8,C023 JALAN KUANTAN,3.176478,101.702825
257f6a3ec49f4b05a11224181d3435c7,C024 JALAN 3 48a SENTUL,3.180647,101.69785
d18b8596736040b7b466f1373d66732f,C025 JALAN GOMBAK,3.204611,101.701758
fdc1ee46daa44859ac542ede99631991,C026 JALAN GOMBAK,3.209706,101.704803
aec5b85a3b884799a9f2e20cba1975b1,C027 JALAN GOMBAK,3.214383,101.712792
41e12747d74f41b88ecf15d5a91dc8c3,C028 JALAN TAMAN IBU KOTA,3.207733,101.719135
bd6b159df8da450eba569d05b3fd4bf3,C029 JALAN RAJA MUDA ABDUL AZIZ,3.140269,101.628133
2a3d63dcf82c41e78e0af8a3bdead63b,C030 JALAN RAJA MUDA,3.167379,101.699263
ac9f47a8569247ad8eac40660e16304e,C031 JALAN RAJA MUDA ABDUL AZIZ,3.167989,101.704217
bc4ccd223f7e4a2e9c736e2fb4b21a51,C032 JALAN RAJA MUDA ABDUL AZIZ,3.167887,101.709637
5ed02a73340f42cb98b3e511f1ee30dd,C033 JALAN TUN RAZAK,3.167994,101.713242
07ddbff6790149698df1ae49634802db,C034 JALAN SULTAN YAHYA PETRA,3.170437,101.716541
95e221af6015429ca179cb669f1ba4d8,C035 JALAN SULTAN YAHYA PETRA,3.171227,101.717352
53ae855bcd264582a350c1935c1d27fe,C036 JALAN SULTAN YAHYA PETRA,3.175601,101.720544
c337f16770d54e378d3cda603d98fc94,C037 JALAN SULTAN YAHYA PETRA,3.182022,101.722197
f617b739c0f946e0b9fbd1a2fa4be643,C038 JALAN JELATEK ,3.165946,101.734899
5e319d86fffa4b3ea50ebb17095ea69b,C039 JALAN JELATEK,3.177823,101.736448
629d814b51334f9f913fe6c66f3716fe,C041 JALAN TAMAN SETIAWANGSA,3.178098,101.736937
ddb9320f5f2b4db588781420749db7c4,C042 JALAN SETIAWANGSA,3.181918,101.738211
796b9a2e5c9143c9af942b9d60503bee,C043 TAMAN SRI RAMPAI,3.198278,101.725889
59e3def6cb084a0ca6801c242bee82a2,C044 JALAN WANGSA MAJU,3.194631,101.742631
5d7ebd908286424bbba71fb091a30790,C045 JALAN 34 26 SETIAWANGSA,3.192685,101.738702
65b5ee160e0a4b1687fd024319da022f,C046 JALAN KILANG,3.191895,101.735496
db5a71d0c7c64a62affe0f128aa3887f,C047 JALAN KILANG,3.194653,101.730901
4190fe38ba29465cbc332909d698fbcf,C048 JALAN 127A WANGSA MAJU,3.202093,101.735347
79c20d6f1c4145a79d56218eb49e1560,C049 WANGSA MAJU,3.206789,101.740669
f662e37147284ba79b4d0ac53a374671,C050 JALAN WANGSA PERDANA 1,3.200061,101.742661
d7c4f0efc87745a28be73b2db35759e2,C051 JALAN TAMAN SETIAWANGSA,3.177517,101.743755
5322b45e5d214f799e30dc2cb460bf61,C052 JALAN PAHANG 10,3.170458,101.698347
5ed5b8c9c2ec4d1280439d00ddb09c49,C053 JALAN RAJA BOT,3.165508,101.700092
2731e2e884ec40f49be1471bc0c78bdc,C054 JALAN RAJA ALANG,3.163906,101.700428
6021d7f0f762441986350a6a64850893,C055 JALAN RAJA ALANG,3.163804,101.703069
5cbdae9366ae4f44a96949efe2372600,C056 JALAN RAJA ABDULLAH,3.159982,101.702014
ba19460182a841d0a52fa95fa115b019,C057 PANO DBKL 3,3.159079,101.701492
e6fd9c1470cf4a1899c62eb2dc064215,C058 PANO DBKL 3,3.159435,101.701332
876032f56da643459296123cfd07799b,C059 JALAN SUNGAI BARU,3.161083,101.706719
7d9f41deae86447ba555b4ea374baaf0,C060 JALAN DATUK KERAMAT,3.165239,101.722708
7aaca201bdad4964a0c1fca88b8470ce,C061 JALAN AMPANG,3.160965,101.737347
16ffbf79793d490b9f0d5c77b4a8f4af,C062 JALAN AMPANG,3.15211,101.698693
43e8cc65058c4ffaa9fca34990910213,C063 JALAN AMPANG,3.152612,101.699586
b38381812f8b46c48732feb41d6fc866,C064 JALAN AMPANG ,3.155243,101.701635
5dc36a7f78dc453889ae69deeacd2388,C065 JALAN AMPANG,3.156391,101.702767
3a08c9381c214cf688ecf6ed8205d34a,C066 JALAN AMPANG,3.156376,101.704869
1093dfb202f74016a64188fa61a72ab5,C067 JALAN AMPANG,3.158045,101.707719
4ac2ccb7733f457195f0c9bb4f50b692,C068 JALAN SULTAN ISMAIL,3.151678,101.710242
86595041549d439f96881d0f6ed24697,C069 JALAN AMPANG,3.159191,101.710542
b88aa1a5c0b24b7faedb6ea835295d23,C070 JALAN AMPANG (KLCC),3.159025,101.712693
821cca09aef34e10b645e5a6c1085db3,C071 JALAN AMPANG,3.160114,101.71567
35612af09a9e4e7fac911d72d714b4d7,C072 JALAN AMPANG,3.160437,101.716951
bad98016c97b4e05b17103c2d9e5ffe1,C073 JALAN TUN RAZAK ,3.160386,101.72016
49b55cc52e8141ada35d3e85b15fa5b2,C074 JALAN TUN RAZAK,3.159825,101.720012
6df6e0eea2bb4fcba365df20ca4240bb,C075 JALAN AMPANG,3.159993,101.726756
4000fa664ab440cfa3f724abdd0f61ee,C076 JALAN AMPANG,3.160731,101.729722
30c6fc67463f4affb016398554498014,C077 JALAN AMPANG 86,3.160635,101.734796
dfa1b5a10ee54110863aa076c578c41d,C078 JALAN AMPANG,3.160854,101.736101
5f0bcf13c7e3462f8a6abb904bb1afd4,C079 JALAN AMPANG,3.160349,101.741558
11205ff289d64ee19f9654d98b8b5e8b,C080 JALAN AMPANG,3.158311,101.747452
64bee033dccc476d9046e3df88cab781,C081 JALAN AMPANG HILIR,3.158628,101.729794
ec37220edb8143aaa0c8f154104f5f09,C082 JALAN AMPANG HILIR,3.158153,101.7345
f771a7944b2d44178eadddbf80692dd6,C083 JALAN U-THANT,3.154608,101.729475
d676b10a1f7e43b19e281dfa5e91da1c,C084 JALAN P.RAMLEE,3.150737,101.706332
4a267f4f3edc452e888e90d6ecacde87,C085 JALAN P.RAMLEE,3.152596,101.706736
141aa43e4fe04fbcbca96953b877905c,C086 JALAN P.RAMLEE,3.15404,101.707632
c9c2d27dec8746c594ce114a83e4d45b,C087 JALAN P.RAMLEE,3.15449,101.707951
d3dedd97b1894dae9b08c7db4e03f372,C088 JALAN P.RAMLEE,3.154438,101.707919
df942b2de56949a3a3b8c76c3390a4b9,C089 JALAN YAP KWAN SENG,3.160694,101.711051
0c767b6f9b8d4f1ebc3f6a202d07e5ea,C090 JALAN YAP KWAN SENG,3.162433,101.713559
7563766a449546a4a14b5ed41d448272,C091 JALAN RAJA CHULAN,3.148526,101.699423
